",""Weight_seeds_Top_net"",""Weight_mfl_net"",""Gen"",""Pop"",""Gen_Pop"",""Sampler"",""Date"",""Total_height"",""Plant_Biomass"",""relMRE"""
"1,0.0506500000000001,0.0598,7,""5"",""G7_P5"",""Anouck"",""13_07_2020"",81,22.27356,0.541421457673155"
"2,0.31285,0.0442,6,""5"",""G6_P5"",""Anouck"",""13_07_2020"",79,15.31496,0.123792185968352"
"3,0.24655,0.0624,5,""3"",""G5_P3"",""Solenn"",""13_07_2020"",33.5,5.64726,0.20197442951934"
"4,0.06215,0.065,6,""1"",""G6_P1"",""Solenn"",""13_07_2020"",77,12.34866,0.511207235548565"
"5,0.10105,0.0182500000000001,6,""5"",""G6_P5"",""Xinji"",""13_07_2020"",58,12.66781,0.152975691533949"
"6,0.0418500000000001,0.04295,3,""5"",""G3_P5"",""Solenn"",""13_07_2020"",53.5,4.26001,0.506485849056603"
"7,0.0354500000000001,0.0791500000000001,5,""1"",""G5_P1"",""Solenn"",""15_07_2020"",76,12.81311,0.69066317626527"
"8,0.0418500000000001,0,3,""5"",""G3_P5"",""Prosper"",""13_07_2020"",78.5,6.53696,0"
"9,0.09735,0,6,""3"",""G6_P3"",""Prosper"",""14_07_2020"",83,8.94946,0"
"10,0.06755,0.0646500000000001,5,""1"",""G5_P1"",""Melissa"",""13_07_2020"",90,26.48751,0.489031770045386"
"11,0.06315,0.03495,6,""5"",""G6_P5"",""Melissa"",""13_07_2020"",73.5,14.80041,0.356269113149847"
"12,0.0800500000000001,0.04895,6,""5"",""G6_P5"",""Melissa"",""14_07_2020"",62,16.68021,0.379457364341085"
"13,0.05145,0.0557500000000001,5,""5"",""G5_P5"",""Melissa"",""14_07_2020"",62.3,7.91161,0.520055970149254"
"14,0.10755,0.0455500000000001,3,""1"",""G3_P1"",""Melissa"",""14_07_2020"",91.2,9.19831,0.297517962116264"
"15,0.07725,0.02685,7,""1"",""G7_P1"",""Aphia"",""13_07_2020"",96,17.55651,0.257925072046109"
"16,0.14955,0.0338,7,""3"",""G7_P3"",""Aphia"",""13_07_2020"",77,16.73711,0.184346877556586"
"17,0.02885,0.05845,6,""1"",""G6_P1"",""Aphia"",""14_07_2020"",57,13.43331,0.669530355097365"
"18,0.12055,0.04735,3,""5"",""G3_P5"",""Anouck"",""14_07_2020"",59.5,5.59791,0.282013103037522"
"19,0.10435,0.00955000000000006,5,""1"",""G5_P1"",""Anouck"",""14_07_2020"",63.5,12.63501,0.0838454784899039"
"20,0.11385,0.0026,3,""1"",""G3_P1"",""Anouck"",""15_07_2020"",53,13.00716,0.0223271790468012"
"21,0.12305,0.0104,5,""3"",""G5_P3"",""Anouck"",""15_07_2020"",61,6.29596,0.0779318096665418"
"22,0.03405,0,5,""5"",""G5_P5"",""Prosper"",""15_07_2020"",44.5,2.76666,0"
"23,0.0677500000000001,0.04295,3,""5"",""G3_P5"",""Prosper"",""15_07_2020"",68.5,8.17091,0.387985546522132"
"24,0.07215,0,6,""5"",""G6_P5"",""Prosper"",""15_07_2020"",47,2.75216,0"
"25,0.15515,0,5,""3"",""G5_P3"",""Prosper"",""15_07_2020"",59,12.14386,0"
"26,0.08245,0.04835,6,""5"",""G6_P5"",""Prosper"",""15_07_2020"",79,16.05961,0.369648318042813"
